game_index,event,date,round,white,black,result,ply,color,player,move,rank,best_move,chosen_expectation,best_expectation,legacy_code_match,depth_best,depth_played,depth_min,depth_max
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,72,white,"Colas, Joshua",Ra4,6,Rc4,0.0,0.0005,False,20,20,20,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,73,black,"Niemann, Hans Moke",e5,1,e5,1.0,1.0,True,21,21,20,21
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,74,white,"Colas, Joshua",Ra6,5,g3,0.0,0.0,True,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,75,black,"Niemann, Hans Moke",f6,2,f4,1.0,1.0,True,20,20,19,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,76,white,"Colas, Joshua",Kg3,6,h4,0.0,0.0,True,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,77,black,"Niemann, Hans Moke",Kg6,6,Rb7,1.0,1.0,True,19,18,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,78,white,"Colas, Joshua",Ra8,3,Kf2,0.0,0.0,True,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,79,black,"Niemann, Hans Moke",f4+,1,f4+,1.0,1.0,True,19,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,80,white,"Colas, Joshua",Kg4,4,Kf2,0.0,0.0,True,19,18,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,81,black,"Niemann, Hans Moke",Rb3,1,Rb3,1.0,1.0,True,20,20,20,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,82,white,"Colas, Joshua",Kh4,2,Rg8+,0.0,0.0,True,17,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,83,black,"Niemann, Hans Moke",Kf5,2,Rd3,1.0,1.0,True,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,84,white,"Colas, Joshua",Rg8,1,Rg8,0.0,0.0,True,17,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,85,black,"Niemann, Hans Moke",Rb7,2,Rd3,1.0,1.0,True,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,86,white,"Colas, Joshua",g4+,1,g4+,0.0,0.0,True,18,18,18,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,87,black,"Niemann, Hans Moke",Ke4,1,Ke4,1.0,1.0,True,18,18,18,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,88,white,"Colas, Joshua",Kh5,1,Kh5,0.0,0.0,True,21,21,21,21
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,89,black,"Niemann, Hans Moke",f3,1,f3,1.0,1.0,True,17,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,90,white,"Colas, Joshua",Rf8,1,Rf8,0.0,0.0,True,16,16,15,16
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,91,black,"Niemann, Hans Moke",Rb6,2,f2,1.0,1.0,True,16,16,15,16
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,92,white,"Colas, Joshua",g5,9,Ra8,0.0,0.0,True,14,13,13,14
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,93,black,"Niemann, Hans Moke",f2,1,f2,1.0,1.0,True,18,18,17,18
